time,x,y,z
0,-0.84446,7.5457,5.8567
0.029999,-0.95342,7.5048,5.9385
0.060029,-0.91256,7.464,6.0202
0.090027,-0.95342,7.5865,5.9793
0.12003,-0.76274,7.6955,6.0883
0.14999,-0.8036,7.464,6.0202
0.17999,-0.76274,7.6955,5.9793
0.21051,-0.8036,7.6955,5.8976
0.24011,-0.91256,7.6683,5.7886
0.27014,-1.0351,7.464,5.6661
0.30014,-1.076,7.4367,5.7886
0.33005,-0.76274,7.3141,5.9385
0.36002,-1.1441,7.6683,5.5162
0.38995,-1.2258,7.5865,5.6661
0.42004,-1.2667,7.2052,5.7069
0.44998,-1.2667,7.5865,5.3664
0.48004,-1.185,7.8589,4.9442
0.51013,-0.84446,7.5457,5.3664
0.54019,-0.8036,7.7772,6.17
0.57007,-0.57205,8.0088,6.6331
0.6001,-0.50395,7.9679,6.0883
0.63052,-0.50395,7.7364,5.3664
0.66004,-0.61292,7.6955,5.4073
0.69,-0.76274,7.5865,5.2847
0.72,-0.8036,7.6683,5.3664
0.75372,-0.95342,7.6955,5.7478
0.79135,-1.1441,7.8181,5.8295
0.82016,-1.4982,7.6955,5.7886
0.85016,-1.1169,7.464,6.17
0.88001,-0.99429,7.5457,5.8295
0.91004,0.27241,7.0826,5.6252
0.94003,0.38137,7.927,4.9033
0.97009,0.27241,8.3084,5.094
1,-0.23155,8.0769,7.3958
1.0301,-2.1384,8.2812,7.9679
1.0601,0.76274,7.246,6.5514
1.0902,-0.34051,7.3141,4.9033
1.12,0.50395,7.0826,6.6331
1.15,1.0351,7.464,6.4016
1.1801,-0.10896,7.2052,5.6252
1.21,0.65378,7.5865,5.9385
1.2401,0.84446,7.0145,7.6274
1.2702,0.46309,6.279,7.5865
1.3004,-0.081722,7.1643,6.5514
1.3308,0.38137,8.4991,6.8919
1.3601,0.53119,7.9679,6.4424
1.3902,-0,7.5865,5.5571
1.4301,-0.19068,8.3084,5.2847
1.4601,0.10896,7.1643,5.4754
1.4901,-0.27241,8.1177,5.2847
1.5338,1.1441,7.1234,6.2381
1.584,0.38137,6.3198,6.8238
1.6349,0.53119,7.2733,6.5922
1.7104,0.27241,6.9328,7.1234
1.7403,0.19068,7.2733,6.9736
1.7701,0.14982,7.246,6.7829
1.8109,0.14982,7.0553,6.8919
1.8402,-0.10896,7.2052,6.2381
1.8802,0.14982,7.8862,5.0123
1.9127,0.65378,8.1586,5.7886
1.9503,0.53119,8.1586,5.3664
1.9805,0.8036,7.246,5.9793
2.0103,1.4165,7.1234,6.6604
2.0407,1.3076,7.6955,6.4424
2.0703,1.1169,7.9679,5.5162
2.1003,0.76274,7.5048,5.094
2.1302,0.8036,7.5048,4.8625
2.1602,1.3757,7.5457,5.4754
2.1903,1.3076,7.4367,5.5162
